mass,friction,reward
0.5,0.5,2045.1548777199998
0.5,1.0,2045.1548777199998
0.5,1.5,1992.9206247600002
0.5,2.0,734.1382881000001
0.5,2.5,503.13715591999994
0.5,3.0,336.86716808000006
0.5,3.5,320.26945894000005
1.0,0.5,2270.0989799800004
1.0,1.0,2270.0989799800004
1.0,1.5,2682.3225119000003
1.0,2.0,1551.89549076
1.0,2.5,444.37218021999996
1.0,3.0,329.61870174
1.0,3.5,332.05499843999996
1.5,0.5,2003.80584532
1.5,1.0,2003.80584532
1.5,1.5,2779.9543229799997
1.5,2.0,2452.22263588
1.5,2.5,426.13026170000006
1.5,3.0,359.0584078399999
1.5,3.5,343.9479100600001
2.0,0.5,1937.75853234
2.0,1.0,1937.75853234
2.0,1.5,2782.66764266
2.0,2.0,2819.3985098599996
2.0,2.5,518.66235994
2.0,3.0,384.1218577600001
2.0,3.5,351.08338468
2.5,0.5,894.38858984
2.5,1.0,894.38858984
2.5,1.5,2851.50688084
2.5,2.0,3034.0550950000006
2.5,2.5,588.07859614
2.5,3.0,384.40770604
2.5,3.5,353.61581124
3.0,0.5,670.36560762
3.0,1.0,670.36560762
3.0,1.5,2955.2345780199994
3.0,2.0,3102.5660393599996
3.0,2.5,707.51092064
3.0,3.0,375.14904459999997
3.0,3.5,353.43148184000006
3.5,0.5,653.56256668
3.5,1.0,653.56256668
3.5,1.5,3016.02458132
3.5,2.0,3153.199486560001
3.5,2.5,1249.7510218
3.5,3.0,387.67029563999995
3.5,3.5,355.16561868
4.0,0.5,640.97604882
4.0,1.0,640.97604882
4.0,1.5,3108.6504403599997
4.0,2.0,3202.4836894799996
4.0,2.5,1263.9192125
4.0,3.0,395.7875881399999
4.0,3.5,353.32642936
4.5,0.5,613.6397059200001
4.5,1.0,613.6397059200001
4.5,1.5,3146.01506254
4.5,2.0,3252.7966896
4.5,2.5,1307.25663172
4.5,3.0,402.68397882
4.5,3.5,355.71537000000006
5.0,0.5,614.0726131
5.0,1.0,614.0726131
5.0,1.5,3163.5490075000002
5.0,2.0,3292.77509382
5.0,2.5,1499.17287944
5.0,3.0,412.4617109
5.0,3.5,357.36169476
5.5,0.5,574.4637038599999
5.5,1.0,574.4637038599999
5.5,1.5,3142.5902634800004
5.5,2.0,3325.9740259799996
5.5,2.5,1504.6841212199997
5.5,3.0,421.18566050000004
5.5,3.5,356.24530928
6.0,0.5,561.1978585
6.0,1.0,561.1978585
6.0,1.5,2649.4213217999995
6.0,2.0,3353.7437999
6.0,2.5,1432.3046400800001
6.0,3.0,416.59786678000006
6.0,3.5,350.24637914
6.5,0.5,557.3937657800001
6.5,1.0,557.3937657800001
6.5,1.5,2020.1768453800003
6.5,2.0,3376.6614311
6.5,2.5,1345.2637539600003
6.5,3.0,413.78139868
6.5,3.5,348.44310822
7.0,0.5,534.60579732
7.0,1.0,534.60579732
7.0,1.5,1715.3071921999997
7.0,2.0,3390.54729452
7.0,2.5,1305.28117384
7.0,3.0,401.3177378600001
7.0,3.5,347.38515924000006
7.5,0.5,547.9565310399998
7.5,1.0,547.9565310399998
7.5,1.5,1533.8685714199999
7.5,2.0,3402.117138220001
7.5,2.5,1183.52981492
7.5,3.0,400.89108660000005
7.5,3.5,348.79635602
8.0,0.5,530.8855505
8.0,1.0,530.8855505
8.0,1.5,1312.8488828799998
8.0,2.0,3416.1826482800006
8.0,2.5,1101.0772811000002
8.0,3.0,401.47545584
8.0,3.5,346.29599466
8.5,0.5,529.6978088
8.5,1.0,529.6978088
8.5,1.5,1194.2774446199999
8.5,2.0,3399.0915561600004
8.5,2.5,1069.7016830799998
8.5,3.0,405.37846586000006
8.5,3.5,343.97868524
9.0,0.5,516.27279662
9.0,1.0,516.27279662
9.0,1.5,963.6019207799999
9.0,2.0,3422.811340959999
9.0,2.5,1012.5228641599999
9.0,3.0,407.95277332000006
9.0,3.5,344.6516606800001
9.5,0.5,496.84671148
9.5,1.0,496.84671148
9.5,1.5,859.32203184
9.5,2.0,3133.2038337400004
9.5,2.5,919.3114394800002
9.5,3.0,410.64592248
9.5,3.5,341.70881908
10.0,0.5,520.77742618
10.0,1.0,520.77742618
10.0,1.5,810.4477246800001
10.0,2.0,2900.7962248799995
10.0,2.5,873.88414624
10.0,3.0,411.13894402000005
10.0,3.5,339.33775141999996
10.5,0.5,528.86909282
10.5,1.0,528.86909282
10.5,1.5,760.8934040200002
10.5,2.0,2516.4026305199995
10.5,2.5,823.5092244600002
10.5,3.0,411.23102637999995
10.5,3.5,340.6792441399999
11.0,0.5,530.98689506
11.0,1.0,530.98689506
11.0,1.5,670.6911218
11.0,2.0,2301.3538536
11.0,2.5,779.5133988600002
11.0,3.0,412.05628291999994
11.0,3.5,340.14543238
11.5,0.5,530.38251588
11.5,1.0,530.38251588
11.5,1.5,631.83713204
11.5,2.0,1727.53407454
11.5,2.5,728.9811686200001
11.5,3.0,410.87875216
11.5,3.5,338.12436325999994
