mass,friction,reward
0.5,0.5,172.00219707999997
0.5,1.0,172.00219707999997
0.5,1.5,161.286787
0.5,2.0,158.27162214
0.5,2.5,1088.44745058
0.5,3.0,295.58866909999995
0.5,3.5,270.32711634
1.0,0.5,413.47383781999997
1.0,1.0,413.47383781999997
1.0,1.5,188.87265580000002
1.0,2.0,186.99137595999997
1.0,2.5,1559.30686456
1.0,3.0,302.08811194
1.0,3.5,286.49680878
1.5,0.5,1226.79118188
1.5,1.0,1226.79118188
1.5,1.5,216.08283496
1.5,2.0,214.98014268
1.5,2.5,1889.12043274
1.5,3.0,310.5868268
1.5,3.5,308.92354658
2.0,0.5,1958.7517992400003
2.0,1.0,1958.7517992400003
2.0,1.5,2015.48707314
2.0,2.0,245.56682868000004
2.0,2.5,2610.15479184
2.0,3.0,311.95371068000003
2.0,3.5,288.32639436
2.5,0.5,2361.4034088
2.5,1.0,2361.4034088
2.5,1.5,1863.81978718
2.5,2.0,1495.02310258
2.5,2.5,1839.51124594
2.5,3.0,312.7134236
2.5,3.5,287.52720466000005
3.0,0.5,2316.83360566
3.0,1.0,2316.83360566
3.0,1.5,2750.60679428
3.0,2.0,2839.01738292
3.0,2.5,936.0723372199999
3.0,3.0,310.08839596
3.0,3.5,287.63781076
3.5,0.5,2159.30105812
3.5,1.0,2159.30105812
3.5,1.5,2786.25503104
3.5,2.0,2920.23985702
3.5,2.5,746.3509968
3.5,3.0,309.59661972
3.5,3.5,288.03058411999996
4.0,0.5,1034.6710335799999
4.0,1.0,1034.6710335799999
4.0,1.5,2938.8447910200002
4.0,2.0,2982.554140900001
4.0,2.5,695.5464943800001
4.0,3.0,302.56240906
4.0,3.5,289.04519015999995
4.5,0.5,1117.50950288
4.5,1.0,1117.50950288
4.5,1.5,2961.08475166
4.5,2.0,3035.74298586
4.5,2.5,668.52251464
4.5,3.0,308.48452642
4.5,3.5,289.37949216000004
5.0,0.5,886.7922355000001
5.0,1.0,886.7922355000001
5.0,1.5,2991.5765331800003
5.0,2.0,3070.4076328
5.0,2.5,630.34535104
5.0,3.0,311.89632966
5.0,3.5,290.51255856
5.5,0.5,722.9034773799998
5.5,1.0,722.9034773799998
5.5,1.5,2623.9106900200004
5.5,2.0,3117.6027163199997
5.5,2.5,596.24224446
5.5,3.0,312.53812478
5.5,3.5,290.59820864
6.0,0.5,674.83076134
6.0,1.0,674.83076134
6.0,1.5,2919.8918105199996
6.0,2.0,3157.8894707400004
6.0,2.5,572.4398077000001
6.0,3.0,314.0817372
6.0,3.5,291.25441304000003
6.5,0.5,577.35269968
6.5,1.0,577.35269968
6.5,1.5,1926.7301775199999
6.5,2.0,3220.21475598
6.5,2.5,544.5148754
6.5,3.0,319.1826112
6.5,3.5,291.74214444
7.0,0.5,556.74242822
7.0,1.0,556.74242822
7.0,1.5,1129.65584748
7.0,2.0,3282.4323034400004
7.0,2.5,521.13959772
7.0,3.0,338.93188819999995
7.0,3.5,293.36855462000005
7.5,0.5,542.83912092
7.5,1.0,542.83912092
7.5,1.5,854.8751332800001
7.5,2.0,2263.9038637999997
7.5,2.5,508.16990408
7.5,3.0,335.00227309999997
7.5,3.5,294.40700336000003
8.0,0.5,528.33490524
8.0,1.0,528.33490524
8.0,1.5,763.9173943800001
8.0,2.0,1263.08400072
8.0,2.5,500.3923333599999
8.0,3.0,333.07838646000005
8.0,3.5,294.647958
8.5,0.5,515.9330235
8.5,1.0,515.9330235
8.5,1.5,749.81318598
8.5,2.0,1261.14796962
8.5,2.5,490.33943660000006
8.5,3.0,331.99589856000006
8.5,3.5,294.93923546
9.0,0.5,506.14024716
9.0,1.0,506.14024716
9.0,1.5,664.15635492
9.0,2.0,1254.00637208
9.0,2.5,481.08737224000004
9.0,3.0,330.63042312
9.0,3.5,295.6331341
9.5,0.5,492.74705456
9.5,1.0,492.74705456
9.5,1.5,618.08130788
9.5,2.0,1037.86935808
9.5,2.5,471.2496799599999
9.5,3.0,332.38343163999997
9.5,3.5,296.47541016
10.0,0.5,476.42921814
10.0,1.0,476.42921814
10.0,1.5,604.8883869599999
10.0,2.0,884.38642404
10.0,2.5,463.2426921400001
10.0,3.0,330.22818700000005
10.0,3.5,298.10837630000003
10.5,0.5,460.1536184800001
10.5,1.0,460.1536184800001
10.5,1.5,590.05286652
10.5,2.0,815.6951095000001
10.5,2.5,451.50524458
10.5,3.0,330.15451812
10.5,3.5,299.77246328000007
11.0,0.5,446.16724359999995
11.0,1.0,446.16724359999995
11.0,1.5,577.59195564
11.0,2.0,773.5037859199999
11.0,2.5,444.58031581999995
11.0,3.0,329.82694428
11.0,3.5,301.78196206
11.5,0.5,432.15938404
11.5,1.0,432.15938404
11.5,1.5,570.502912
11.5,2.0,735.7639980199998
11.5,2.5,440.67283602000003
11.5,3.0,329.6404895200001
11.5,3.5,303.13699198
