mass,friction,reward
0.5,0.5,770.6276453600002
0.5,1.0,770.6276453600002
0.5,1.5,1074.4650074600002
0.5,2.0,190.15609355999996
0.5,2.5,184.71146702000001
0.5,3.0,190.61738836
0.5,3.5,243.59885678000003
1.0,0.5,52.72850366000001
1.0,1.0,52.72850366000001
1.0,1.5,52.78792831999999
1.0,2.0,53.08049206
1.0,2.5,54.0769397
1.0,3.0,53.49129171999999
1.0,3.5,54.8055602
1.5,0.5,105.69700882
1.5,1.0,105.69700882
1.5,1.5,162.37453556
1.5,2.0,67.42863849999999
1.5,2.5,153.84242908
1.5,3.0,102.04571011999998
1.5,3.5,56.65319595999999
2.0,0.5,2080.1858811399998
2.0,1.0,2080.1858811399998
2.0,1.5,2725.4373579000003
2.0,2.0,201.27354726000002
2.0,2.5,986.2110724199999
2.0,3.0,344.47582761999996
2.0,3.5,58.5990748
2.5,0.5,1511.5210680200003
2.5,1.0,1511.5210680200003
2.5,1.5,2976.7696922800005
2.5,2.0,3032.62680956
2.5,2.5,1130.3328122199998
2.5,3.0,397.75451332000006
2.5,3.5,60.31140504
3.0,0.5,908.5142042000001
3.0,1.0,908.5142042000001
3.0,1.5,3042.1382400400007
3.0,2.0,3129.5079365
3.0,2.5,1132.3071258799998
3.0,3.0,396.04272235999997
3.0,3.5,61.87211118000001
3.5,0.5,860.4400914199999
3.5,1.0,860.4400914199999
3.5,1.5,3100.5185836200003
3.5,2.0,3223.19850562
3.5,2.5,1160.06050652
3.5,3.0,394.4868111999999
3.5,3.5,63.328820459999996
4.0,0.5,1467.9259395799997
4.0,1.0,1467.9259395799997
4.0,1.5,3157.17839904
4.0,2.0,3277.10789996
4.0,2.5,1080.80480538
4.0,3.0,393.83913116
4.0,3.5,64.33471788
4.5,0.5,857.79269176
4.5,1.0,857.79269176
4.5,1.5,3189.64218868
4.5,2.0,3321.3061825599993
4.5,2.5,965.0531341999999
4.5,3.0,392.76450546
4.5,3.5,65.35418614000001
5.0,0.5,708.1794637
5.0,1.0,708.1794637
5.0,1.5,3218.3153279599996
5.0,2.0,3364.51272344
5.0,2.5,804.95616268
5.0,3.0,388.43755202
5.0,3.5,65.96384022000001
5.5,0.5,622.82703482
5.5,1.0,622.82703482
5.5,1.5,3232.25633578
5.5,2.0,3401.63811964
5.5,2.5,775.7886737800001
5.5,3.0,381.91141809999993
5.5,3.5,66.76198146
6.0,0.5,419.49538137999997
6.0,1.0,419.49538137999997
6.0,1.5,3216.17106784
6.0,2.0,3435.05795402
6.0,2.5,769.7232923400001
6.0,3.0,375.47856592000005
6.0,3.5,67.5250858
6.5,0.5,391.06987052000005
6.5,1.0,391.06987052000005
6.5,1.5,2032.62572038
6.5,2.0,3463.115316
6.5,2.5,763.0990447199999
6.5,3.0,369.96192391999995
6.5,3.5,67.83880004000001
7.0,0.5,456.72749286
7.0,1.0,456.72749286
7.0,1.5,1318.2623545000001
7.0,2.0,3487.6532854199995
7.0,2.5,723.9604448200001
7.0,3.0,365.3260824599999
7.0,3.5,68.22325588
7.5,0.5,428.4060168
7.5,1.0,428.4060168
7.5,1.5,925.78278358
7.5,2.0,2744.05867378
7.5,2.5,674.92727988
7.5,3.0,360.43539214000003
7.5,3.5,68.82571467999999
8.0,0.5,405.49475568
8.0,1.0,405.49475568
8.0,1.5,890.75550002
8.0,2.0,2150.24524728
8.0,2.5,610.2877641199999
8.0,3.0,356.0527386999999
8.0,3.5,69.72036484
8.5,0.5,403.3810578200001
8.5,1.0,403.3810578200001
8.5,1.5,757.7667275600002
8.5,2.0,1267.8642857599998
8.5,2.5,566.35959026
8.5,3.0,351.91612096000006
8.5,3.5,70.7062133
9.0,0.5,401.93449986
9.0,1.0,401.93449986
9.0,1.5,682.34652078
9.0,2.0,1058.21427834
9.0,2.5,546.15815832
9.0,3.0,347.42418506
9.0,3.5,71.58274952
9.5,0.5,400.81633949999997
9.5,1.0,400.81633949999997
9.5,1.5,656.60027754
9.5,2.0,1045.6989392
9.5,2.5,533.53539222
9.5,3.0,342.6363824999999
9.5,3.5,72.64324534
10.0,0.5,385.99761362
10.0,1.0,385.99761362
10.0,1.5,560.67772786
10.0,2.0,1261.2162554200002
10.0,2.5,535.6165429799998
10.0,3.0,337.84386615999995
10.0,3.5,73.31675612
10.5,0.5,370.2597240399999
10.5,1.0,370.2597240399999
10.5,1.5,398.13991024
10.5,2.0,1021.8570202000001
10.5,2.5,527.51451606
10.5,3.0,332.50421582
10.5,3.5,74.37643024
11.0,0.5,241.34862162000002
11.0,1.0,241.34862162000002
11.0,1.5,246.81816531999996
11.0,2.0,964.15927526
11.0,2.5,501.4112678800001
11.0,3.0,327.62931502
11.0,3.5,79.79662102
11.5,0.5,186.60094315999999
11.5,1.0,186.60094315999999
11.5,1.5,108.5231402
11.5,2.0,806.47029296
11.5,2.5,459.51050942
11.5,3.0,323.78962968
11.5,3.5,119.76737385999999
