mass,friction,reward
0.5,0.5,586.0010519
0.5,1.0,586.0010519
0.5,1.5,2720.0807022799995
0.5,2.0,2455.8620932400004
0.5,2.5,530.3924106999999
0.5,3.0,369.57362560000007
0.5,3.5,336.87700764
1.0,0.5,618.97523672
1.0,1.0,618.97523672
1.0,1.5,2772.5010562000007
1.0,2.0,435.58127952
1.0,2.5,2333.01492638
1.0,3.0,381.2415197199999
1.0,3.5,337.27799558
1.5,0.5,703.0923327999999
1.5,1.0,703.0923327999999
1.5,1.5,2835.40330744
1.5,2.0,337.47922524
1.5,2.5,3091.1834278399997
1.5,3.0,381.4467855
1.5,3.5,336.74311254
2.0,0.5,701.40751098
2.0,1.0,701.40751098
2.0,1.5,2897.75876668
2.0,2.0,866.5558582400001
2.0,2.5,2797.9182823000006
2.0,3.0,378.32747712
2.0,3.5,336.31452488
2.5,0.5,1145.9944264599999
2.5,1.0,1145.9944264599999
2.5,1.5,2948.28852362
2.5,2.0,1705.81816356
2.5,2.5,1691.02450112
2.5,3.0,377.81927994
2.5,3.5,337.23096538000004
3.0,0.5,1285.5348468000002
3.0,1.0,1285.5348468000002
3.0,1.5,2981.25173706
3.0,2.0,3201.72584552
3.0,2.5,1100.8216833200001
3.0,3.0,378.36025390000003
3.0,3.5,338.09838490000004
3.5,0.5,1541.4239511399996
3.5,1.0,1541.4239511399996
3.5,1.5,2240.75215418
3.5,2.0,3266.1182372
3.5,2.5,643.97386804
3.5,3.0,379.66029288
3.5,3.5,338.25102308000004
4.0,0.5,1374.8745885399999
4.0,1.0,1374.8745885399999
4.0,1.5,835.1553664999999
4.0,2.0,3309.2422943
4.0,2.5,639.86252154
4.0,3.0,380.77006294
4.0,3.5,337.61157268000005
4.5,0.5,1193.5512854
4.5,1.0,1193.5512854
4.5,1.5,2030.34827984
4.5,2.0,3343.0729590599994
4.5,2.5,638.5029853000001
4.5,3.0,380.51112964
4.5,3.5,336.50644136000005
5.0,0.5,1172.12446408
5.0,1.0,1172.12446408
5.0,1.5,2757.8002619
5.0,2.0,3374.7107437599993
5.0,2.5,623.47555024
5.0,3.0,380.25297077999994
5.0,3.5,335.33126250000004
5.5,0.5,670.72064338
5.5,1.0,670.72064338
5.5,1.5,2479.83963122
5.5,2.0,3401.6790476
5.5,2.5,531.5108534799999
5.5,3.0,379.89736138000006
5.5,3.5,334.21214208
6.0,0.5,748.5169133000002
6.0,1.0,748.5169133000002
6.0,1.5,1310.74668328
6.0,2.0,3422.2052604600003
6.0,2.5,494.7466755
6.0,3.0,378.83476728
6.0,3.5,332.98030116
6.5,0.5,700.98327406
6.5,1.0,700.98327406
6.5,1.5,1164.2476924399998
6.5,2.0,3436.3307809000003
6.5,2.5,481.07385668
6.5,3.0,378.60655978
6.5,3.5,331.54596022
7.0,0.5,693.1429965399999
7.0,1.0,693.1429965399999
7.0,1.5,1113.9173305
7.0,2.0,3446.06689896
7.0,2.5,466.46433731999997
7.0,3.0,377.64374744
7.0,3.5,330.61934756000005
7.5,0.5,703.7460811199999
7.5,1.0,703.7460811199999
7.5,1.5,1150.31716662
7.5,2.0,3455.9506350999995
7.5,2.5,461.6671537
7.5,3.0,377.62889644
7.5,3.5,328.87431435999997
8.0,0.5,717.5175234399999
8.0,1.0,717.5175234399999
8.0,1.5,1012.51779876
8.0,2.0,3118.29836542
8.0,2.5,447.66157572000003
8.0,3.0,376.86922166
8.0,3.5,327.02977881999993
8.5,0.5,712.22564398
8.5,1.0,712.22564398
8.5,1.5,861.95162392
8.5,2.0,944.19435408
8.5,2.5,438.20533188
8.5,3.0,376.34001529999995
8.5,3.5,325.16885614
9.0,0.5,697.46879028
9.0,1.0,697.46879028
9.0,1.5,813.9492092999999
9.0,2.0,883.4283211000001
9.0,2.5,424.44272257999995
9.0,3.0,375.55837121999997
9.0,3.5,323.40272614
9.5,0.5,674.2310777999999
9.5,1.0,674.2310777999999
9.5,1.5,805.12075396
9.5,2.0,779.8027589599999
9.5,2.5,416.75178961999995
9.5,3.0,374.915844
9.5,3.5,321.83345209999993
10.0,0.5,622.7513348599999
10.0,1.0,622.7513348599999
10.0,1.5,687.2855953199999
10.0,2.0,739.2424481600001
10.0,2.5,408.43102008
10.0,3.0,373.70845785999995
10.0,3.5,320.90068929999995
10.5,0.5,560.2887433
10.5,1.0,560.2887433
10.5,1.5,609.63129042
10.5,2.0,747.9477160000001
10.5,2.5,405.7423576999999
10.5,3.0,372.55007652
10.5,3.5,320.62424348
11.0,0.5,531.09473988
11.0,1.0,531.09473988
11.0,1.5,585.74885208
11.0,2.0,745.76260164
11.0,2.5,405.5277184
11.0,3.0,371.16168295999995
11.0,3.5,320.54379779999994
11.5,0.5,530.0096512200001
11.5,1.0,530.0096512200001
11.5,1.5,553.7335049400001
11.5,2.0,696.31734974
11.5,2.5,404.78447172
11.5,3.0,369.75899644
11.5,3.5,320.52451868
