mass,friction,reward
0.5,0.5,663.8805375999999
0.5,1.0,663.8805375999999
0.5,1.5,905.0404417
0.5,2.0,3119.96946588
0.5,2.5,941.44851822
0.5,3.0,441.0582936999999
0.5,3.5,300.70831792
1.0,0.5,707.2950100800001
1.0,1.0,707.2950100800001
1.0,1.5,1037.3952063799998
1.0,2.0,3157.7086697000004
1.0,2.5,956.6543480200002
1.0,3.0,475.5392512
1.0,3.5,299.51688971999994
1.5,0.5,723.92373468
1.5,1.0,723.92373468
1.5,1.5,1285.7512238800002
1.5,2.0,3189.4396706199996
1.5,2.5,926.5259325799999
1.5,3.0,497.1219843800001
1.5,3.5,341.44267268
2.0,0.5,616.72341976
2.0,1.0,616.72341976
2.0,1.5,1908.8135868799998
2.0,2.0,3213.8208241400002
2.0,2.5,922.24486112
2.0,3.0,610.33879232
2.0,3.5,356.86968408
2.5,0.5,428.91736556
2.5,1.0,428.91736556
2.5,1.5,1602.14875536
2.5,2.0,3231.9501206
2.5,2.5,909.92424588
2.5,3.0,507.56818778
2.5,3.5,353.49768436
3.0,0.5,418.06073666
3.0,1.0,418.06073666
3.0,1.5,1346.8832338
3.0,2.0,3247.3174830000003
3.0,2.5,882.3610586399998
3.0,3.0,518.5157151799999
3.0,3.5,352.89926369999995
3.5,0.5,413.82225937999993
3.5,1.0,413.82225937999993
3.5,1.5,1200.156205
3.5,2.0,3267.6374651799997
3.5,2.5,842.8741513
3.5,3.0,501.71550203999993
3.5,3.5,350.13740591999994
4.0,0.5,513.01257442
4.0,1.0,513.01257442
4.0,1.5,1000.5764526799999
4.0,2.0,3284.1605093199996
4.0,2.5,837.34269074
4.0,3.0,475.66233126
4.0,3.5,347.75902682
4.5,0.5,612.5696487999999
4.5,1.0,612.5696487999999
4.5,1.5,955.3490504799998
4.5,2.0,3295.53582898
4.5,2.5,884.5881853400001
4.5,3.0,469.88285196000004
4.5,3.5,345.42291256
5.0,0.5,580.0672089799999
5.0,1.0,580.0672089799999
5.0,1.5,883.36858844
5.0,2.0,3306.4818388
5.0,2.5,920.2324192799999
5.0,3.0,454.55477864
5.0,3.5,343.44785246
5.5,0.5,551.71481822
5.5,1.0,551.71481822
5.5,1.5,858.51053064
5.5,2.0,3314.24412918
5.5,2.5,911.4281547
5.5,3.0,430.71555901999994
5.5,3.5,341.6860289600001
6.0,0.5,547.34822986
6.0,1.0,547.34822986
6.0,1.5,810.584651
6.0,2.0,3323.7065486399997
6.0,2.5,1182.0384536
6.0,3.0,406.859188
6.0,3.5,339.34594084
6.5,0.5,545.44258304
6.5,1.0,545.44258304
6.5,1.5,789.4709987800002
6.5,2.0,3336.3402661599994
6.5,2.5,1470.6814003799998
6.5,3.0,406.6001171599999
6.5,3.5,337.19963702000007
7.0,0.5,541.95971054
7.0,1.0,541.95971054
7.0,1.5,780.33491274
7.0,2.0,3352.3899949000006
7.0,2.5,1096.51238794
7.0,3.0,407.3610245399999
7.0,3.5,336.05556519999993
7.5,0.5,541.7757297
7.5,1.0,541.7757297
7.5,1.5,761.1211982599999
7.5,2.0,3381.4773436999994
7.5,2.5,859.6286796
7.5,3.0,406.51263015999996
7.5,3.5,333.89432591999997
8.0,0.5,539.1977877999999
8.0,1.0,539.1977877999999
8.0,1.5,737.4033519399999
8.0,2.0,2182.22272932
8.0,2.5,684.18517206
8.0,3.0,403.20220486000005
8.0,3.5,332.24771794000003
8.5,0.5,536.96939784
8.5,1.0,536.96939784
8.5,1.5,717.5509531800001
8.5,2.0,1332.16906574
8.5,2.5,646.2386601
8.5,3.0,400.1196095
8.5,3.5,330.83112270000004
9.0,0.5,533.38801416
9.0,1.0,533.38801416
9.0,1.5,702.06040022
9.0,2.0,1067.4148215599998
9.0,2.5,625.7752787
9.0,3.0,397.23345756
9.0,3.5,328.95722564000005
9.5,0.5,529.3850085199999
9.5,1.0,529.3850085199999
9.5,1.5,686.26659958
9.5,2.0,925.66339124
9.5,2.5,605.36327244
9.5,3.0,394.21600438
9.5,3.5,327.12773984
10.0,0.5,524.4203583799999
10.0,1.0,524.4203583799999
10.0,1.5,673.9599624400001
10.0,2.0,835.20570062
10.0,2.5,587.60747228
10.0,3.0,391.56507914
10.0,3.5,325.5333211
10.5,0.5,518.70801298
10.5,1.0,518.70801298
10.5,1.5,661.0674093
10.5,2.0,818.8338021599998
10.5,2.5,571.85268758
10.5,3.0,389.52349215999993
10.5,3.5,324.09042608
11.0,0.5,514.10838298
11.0,1.0,514.10838298
11.0,1.5,649.81481524
11.0,2.0,806.4746613600001
11.0,2.5,548.02576834
11.0,3.0,387.26793476
11.0,3.5,322.43844806
11.5,0.5,510.02904774
11.5,1.0,510.02904774
11.5,1.5,646.05669286
11.5,2.0,791.5933850000001
11.5,2.5,513.12513994
11.5,3.0,384.71447562000003
11.5,3.5,320.48933578
