mass,friction,reward
0.5,0.5,2463.36637736
0.5,1.0,2463.36637736
0.5,1.5,2547.6572682600004
0.5,2.0,1091.7801712199998
0.5,2.5,415.01038212
0.5,3.0,347.9705458399999
0.5,3.5,316.64940308
1.0,0.5,2449.44089174
1.0,1.0,2449.44089174
1.0,1.5,2651.7655257
1.0,2.0,1231.3323914599998
1.0,2.5,421.08889581999995
1.0,3.0,348.71486489999995
1.0,3.5,329.42271818
1.5,0.5,1066.84579724
1.5,1.0,1066.84579724
1.5,1.5,2731.5381981799997
1.5,2.0,2518.40008932
1.5,2.5,424.66449415999995
1.5,3.0,357.51878042000004
1.5,3.5,335.90196741999995
2.0,0.5,895.0319263199999
2.0,1.0,895.0319263199999
2.0,1.5,2797.3265239
2.0,2.0,2908.36068532
2.0,2.5,496.98946198
2.0,3.0,373.84854734
2.0,3.5,339.30870945999993
2.5,0.5,798.6996398
2.5,1.0,798.6996398
2.5,1.5,3048.6268318599996
2.5,2.0,3007.7633776999996
2.5,2.5,602.98323582
2.5,3.0,389.70233355999994
2.5,3.5,339.59550456
3.0,0.5,765.8769761800002
3.0,1.0,765.8769761800002
3.0,1.5,1832.27392418
3.0,2.0,3117.0881585599996
3.0,2.5,658.28612752
3.0,3.0,401.6048542600001
3.0,3.5,337.88629434
3.5,0.5,721.5908646
3.5,1.0,721.5908646
3.5,1.5,1395.78924406
3.5,2.0,3225.45163036
3.5,2.5,695.5602922200001
3.5,3.0,408.624511
3.5,3.5,336.15009446000005
4.0,0.5,681.7202262200001
4.0,1.0,681.7202262200001
4.0,1.5,1161.6644399
4.0,2.0,3302.9064916
4.0,2.5,711.9612966400001
4.0,3.0,412.39591818
4.0,3.5,334.58908266
4.5,0.5,603.75560324
4.5,1.0,603.75560324
4.5,1.5,1089.39467592
4.5,2.0,3358.2602797400004
4.5,2.5,722.30651938
4.5,3.0,413.80970278
4.5,3.5,333.5219847
5.0,0.5,582.46227772
5.0,1.0,582.46227772
5.0,1.5,993.6942235599998
5.0,2.0,3402.8581996599996
5.0,2.5,724.9916271599999
5.0,3.0,414.6381102
5.0,3.5,332.3686904
5.5,0.5,583.8103093
5.5,1.0,583.8103093
5.5,1.5,906.54956854
5.5,2.0,3443.68664052
5.5,2.5,717.43940528
5.5,3.0,414.2429111999999
5.5,3.5,331.14216924
6.0,0.5,579.68974938
6.0,1.0,579.68974938
6.0,1.5,886.79479868
6.0,2.0,3475.1692412
6.0,2.5,712.5327484999997
6.0,3.0,412.85849264000007
6.0,3.5,330.3711928999999
6.5,0.5,572.40556498
6.5,1.0,572.40556498
6.5,1.5,851.52200682
6.5,2.0,3499.48355886
6.5,2.5,697.3296023000001
6.5,3.0,410.61749760000004
6.5,3.5,329.03217588
7.0,0.5,564.07423966
7.0,1.0,564.07423966
7.0,1.5,826.78645482
7.0,2.0,3516.404812399999
7.0,2.5,674.3692286
7.0,3.0,409.63472308
7.0,3.5,328.58641258000006
7.5,0.5,553.26494348
7.5,1.0,553.26494348
7.5,1.5,793.0689083800003
7.5,2.0,3226.90856324
7.5,2.5,653.6777189000001
7.5,3.0,407.85484306000006
7.5,3.5,328.04434477999996
8.0,0.5,544.3701912199999
8.0,1.0,544.3701912199999
8.0,1.5,753.0952018400001
8.0,2.0,1444.3315839999998
8.0,2.5,620.6984534
8.0,3.0,406.1609260999999
8.0,3.5,326.9222857
8.5,0.5,533.7238609799999
8.5,1.0,533.7238609799999
8.5,1.5,725.3240909600001
8.5,2.0,1275.4952343599998
8.5,2.5,600.5505103
8.5,3.0,404.74550628000003
8.5,3.5,325.35464902
9.0,0.5,520.0453992
9.0,1.0,520.0453992
9.0,1.5,694.98480872
9.0,2.0,1241.9903676000001
9.0,2.5,585.03380102
9.0,3.0,402.8737996599999
9.0,3.5,325.41695714
9.5,0.5,512.81280282
9.5,1.0,512.81280282
9.5,1.5,675.16989306
9.5,2.0,1236.97655312
9.5,2.5,573.89754188
9.5,3.0,400.54241398
9.5,3.5,324.02170878
10.0,0.5,501.23262223999996
10.0,1.0,501.23262223999996
10.0,1.5,662.672319
10.0,2.0,1206.70162652
10.0,2.5,565.1328856800001
10.0,3.0,398.52786492
10.0,3.5,323.81925574
10.5,0.5,489.492377
10.5,1.0,489.492377
10.5,1.5,662.3093372599999
10.5,2.0,1027.46531224
10.5,2.5,562.9546652399999
10.5,3.0,396.6195793199999
10.5,3.5,322.78267014
11.0,0.5,479.63657366
11.0,1.0,479.63657366
11.0,1.5,656.0209110399999
11.0,2.0,938.6152638799999
11.0,2.5,560.77211878
11.0,3.0,394.49228492000003
11.0,3.5,322.60149478
11.5,0.5,463.72889010000006
11.5,1.0,463.72889010000006
11.5,1.5,629.64705882
11.5,2.0,902.48804424
11.5,2.5,558.90163394
11.5,3.0,393.48814781999994
11.5,3.5,321.49591244
